customerID,age,contract_length,monthly_charges,total_charges,internet_service,Churn
1,20,12,20,100,Fiber,0
2,21,24,21,150,DSL,1
3,22,36,22,200,No,0
4,23,12,23,250,Fiber,1
5,24,24,24,300,DSL,1
6,25,36,25,350,No,0
7,26,12,26,400,Fiber,0
8,27,24,27,450,DSL,1
9,28,36,28,500,No,0
10,29,12,29,550,Fiber,1
11,30,24,30,600,DSL,1
12,31,36,31,650,No,0
13,32,12,32,700,Fiber,0
14,33,24,33,750,DSL,1
15,34,36,34,800,No,0
16,35,12,35,850,Fiber,1
17,36,24,36,900,DSL,1
18,37,36,37,950,No,0
19,38,12,38,1000,Fiber,0
20,39,24,39,1050,DSL,1
21,40,36,40,1100,No,0
22,41,12,41,1150,Fiber,1
23,42,24,42,1200,DSL,1
24,43,36,43,1250,No,0
25,44,12,44,1300,Fiber,0
26,45,24,45,1350,DSL,1
27,46,36,46,1400,No,0
28,47,12,47,1450,Fiber,1
29,48,24,48,1500,DSL,1
30,49,36,49,1550,No,0
31,50,12,50,1600,Fiber,0
32,51,24,51,1650,DSL,1
33,52,36,52,1700,No,0
34,53,12,53,1750,Fiber,1
35,54,24,54,1800,DSL,1
36,55,36,55,1850,No,0
37,56,12,56,1900,Fiber,0
38,57,24,57,1950,DSL,1
39,58,36,58,2000,No,0
40,59,12,59,2050,Fiber,1
41,60,24,60,2100,DSL,1
42,61,36,61,2150,No,0
43,62,12,62,2200,Fiber,0
44,63,24,63,2250,DSL,1
45,64,36,64,2300,No,0
46,65,12,65,2350,Fiber,1
47,66,24,66,2400,DSL,1
48,67,36,67,2450,No,0
49,68,12,68,2500,Fiber,0
50,69,24,69,2550,DSL,1
51,70,36,70,2600,No,0
52,71,12,71,2650,Fiber,1
53,72,24,72,2700,DSL,1
54,73,36,73,2750,No,0
55,74,12,74,2800,Fiber,0
56,75,24,75,2850,DSL,1
57,76,36,76,2900,No,0
58,77,12,77,2950,Fiber,1
59,78,24,78,3000,DSL,1
60,79,36,79,3050,No,0
61,20,12,80,3100,Fiber,0
62,21,24,81,3150,DSL,1
63,22,36,82,3200,No,0
64,23,12,83,3250,Fiber,1
65,24,24,84,3300,DSL,1
66,25,36,85,3350,No,0
67,26,12,86,3400,Fiber,0
68,27,24,87,3450,DSL,1
69,28,36,88,3500,No,0
70,29,12,89,3550,Fiber,1
71,30,24,90,3600,DSL,1
72,31,36,91,3650,No,0
73,32,12,92,3700,Fiber,0
74,33,24,93,3750,DSL,1
75,34,36,94,3800,No,0
76,35,12,95,3850,Fiber,1
77,36,24,96,3900,DSL,1
78,37,36,97,3950,No,0
79,38,12,98,4000,Fiber,0
80,39,24,99,4050,DSL,1
81,40,36,20,4100,No,0
82,41,12,21,4150,Fiber,1
83,42,24,22,4200,DSL,1
84,43,36,23,4250,No,0
85,44,12,24,4300,Fiber,0
86,45,24,25,4350,DSL,1
87,46,36,26,4400,No,0
88,47,12,27,4450,Fiber,1
89,48,24,28,4500,DSL,1
90,49,36,29,4550,No,0
91,50,12,30,4600,Fiber,0
92,51,24,31,4650,DSL,1
93,52,36,32,4700,No,0
94,53,12,33,4750,Fiber,1
95,54,24,34,4800,DSL,1
96,55,36,35,4850,No,0
97,56,12,36,4900,Fiber,0
98,57,24,37,4950,DSL,0
99,58,36,38,5000,No,0
100,59,12,39,5050,Fiber,0
